City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1157,mehamn,NO,71.0357,27.8492,29.23,72,100,13.49,light snow
1158,arraial do cabo,BR,-22.9661,-42.0278,75.51,90,41,17.72,scattered clouds
1159,toamasina,MG,-18.1667,49.3833,71.6,100,75,6.91,broken clouds
1160,dikson,RU,73.5069,80.5464,4.89,93,100,23.82,overcast clouds
1161,abu samrah,SY,35.3029,37.1841,37.71,89,16,5.99,few clouds
1162,mahebourg,MU,-20.4081,57.7,77.25,88,75,3.44,broken clouds
1163,georgetown,MY,5.4112,100.3354,87.73,78,20,5.99,haze
1164,georgetown,MY,5.4112,100.3354,87.73,78,20,5.99,haze
1165,bredasdorp,ZA,-34.5322,20.0403,60.12,82,1,2.3,clear sky
1166,oshnaviyeh,IR,37.0397,45.0983,16.05,87,7,8.19,clear sky
1167,busselton,AU,-33.65,115.3333,80.04,30,0,5.53,clear sky
1168,vila franca do campo,PT,37.7167,-25.4333,55.81,76,85,9.33,overcast clouds
1169,saint-avold,FR,49.1027,6.7006,39.07,99,100,8.32,overcast clouds
1170,luena,AO,-11.7833,19.9167,62.62,97,100,8.79,light rain
1171,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1172,mahebourg,MU,-20.4081,57.7,77.25,88,75,3.44,broken clouds
1173,brae,GB,60.3964,-1.353,44.51,90,80,16.62,broken clouds
1174,lerik,AZ,38.7726,48.4128,24.44,92,99,3.02,overcast clouds
1175,qaanaaq,GL,77.484,-69.3632,-10.25,71,28,8.14,scattered clouds
1176,stornoway,GB,58.2093,-6.3865,40.93,90,75,4,broken clouds
1177,cape town,ZA,-33.9258,18.4232,65.08,76,20,8.05,few clouds
1178,bredasdorp,ZA,-34.5322,20.0403,60.12,82,1,2.3,clear sky
1179,east london,ZA,-33.0153,27.9116,71.91,89,77,14.05,light rain
1180,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1181,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1182,torbay,CA,47.6666,-52.7314,15.49,87,40,5.75,scattered clouds
1183,nanortalik,GL,60.1432,-45.2371,10.38,80,30,11.25,scattered clouds
1184,mahebourg,MU,-20.4081,57.7,77.25,88,75,3.44,broken clouds
1185,murgab,TM,37.4966,61.9714,49.06,56,4,15.79,clear sky
1186,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1187,buenos aires,AR,-34.6132,-58.3772,67.95,67,20,12.66,few clouds
1188,anloga,GH,5.7947,0.8973,77.22,82,24,5.26,few clouds
1189,bengkulu,ID,-3.8004,102.2655,83.88,67,89,1.72,overcast clouds
1190,lebu,CL,-37.6167,-73.65,59.13,94,9,1.9,clear sky
1191,lebu,CL,-37.6167,-73.65,59.13,94,9,1.9,clear sky
1192,presidente franco,PY,-25.5333,-54.6167,77.52,100,75,2.3,broken clouds
1193,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1194,abu kamal,SY,34.4506,40.9171,40.84,68,0,7.72,clear sky
1195,busselton,AU,-33.65,115.3333,80.04,30,0,5.53,clear sky
1196,mogadishu,SO,2.0371,45.3438,74.93,82,92,15.46,overcast clouds
1197,kavaratti,IN,10.5669,72.642,79.34,72,55,9.57,broken clouds
1198,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1199,cockburn town,TC,21.4612,-71.1419,78.17,71,0,11.68,clear sky
1200,busselton,AU,-33.65,115.3333,80.04,30,0,5.53,clear sky
